,Grand Prix,Circuit,Date,Winner,Team,Laps,Race Time
131,Austria,Red Bull Ring,3 July 2016,Lewis Hamilton,Mercedes,71,1:27:38.107
132,Great Britain,Silverstone Circuit,10 July 2016,Lewis Hamilton,Mercedes,52,1:34:55.831
133,Hungary,Hungaroring,24 July 2016,Lewis Hamilton,Mercedes,70,1:40:30.115
134,Germany,Hockenheimring,31 July 2016,Lewis Hamilton,Mercedes,67,1:30:44.200
135,Belgium,Circuit de Spa-Francorchamps,28 August 2016,Nico Rosberg,Mercedes,44,1:44:51.058
136,Italy,Autodromo Nazionale Monza,4 September 2016,Nico Rosberg,Mercedes,53,1:17:28.089
137,Singapore,Marina Bay Street Circuit,18 September 2016,Nico Rosberg,Mercedes,61,1:55:48.950
138,Malaysia,Sepang International Circuit,2 October 2016,Daniel Ricciardo,Red Bull TAG Heuer,56,1:37:12.776
139,Japan,Suzuka International Racing Course,9 October 2016,Nico Rosberg,Mercedes,53,1:26:43.333
140,United States,Circuit of The Americas,23 October 2016,Lewis Hamilton,Mercedes,56,1:38:12.618
141,Mexico,Autódromo Hermanos Rodríguez,30 October 2016,Lewis Hamilton,Mercedes,71,1:40:31.402
142,Brazil,Autódromo José Carlos Pace,13 November 2016,Lewis Hamilton,Mercedes,71,3:01:01.335
143,Abu Dhabi,Yas Marina Circuit,27 November 2016,Lewis Hamilton,Mercedes,55,1:38:04.013
144,Australia,Melbourne Grand Prix Circuit,15 March 2015,Lewis Hamilton,Mercedes,58,1:31:54.067
145,Malaysia,Sepang International Circuit,29 March 2015,Sebastian Vettel,Ferrari,56,1:41:05.793
146,China,Shanghai International Circuit,12 April 2015,Lewis Hamilton,Mercedes,56,1:39:42.008
147,Bahrain,Bahrain International Circuit,19 April 2015,Lewis Hamilton,Mercedes,57,1:35:05.809
148,Spain,Circuit de Barcelona-Catalunya,10 May 2015,Nico Rosberg,Mercedes,66,1:41:12.555
149,Monaco,Circuit de Monaco,24 May 2015,Nico Rosberg,Mercedes,78,1:49:18.420
150,Canada,Circuit Gilles-Villeneuve,7 June 2015,Lewis Hamilton,Mercedes,70,1:31:53.145
